Name,Genre
Death Note,Psychological Thriller
Monster,Psychological Thriller
Code Geass,Psychological Action
Psycho-Pass,Psychological Sci-Fi
Attack on Titan,Action Dark Fantasy
Naruto,Action Adventure
Naruto Shippuden,Action Adventure
One Piece,Adventure Fantasy
Bleach,Action Supernatural
Jujutsu Kaisen,Action Supernatural
Demon Slayer,Action Fantasy
Fullmetal Alchemist: Brotherhood,Action Fantasy
Hunter x Hunter,Adventure Fantasy
Vinland Saga,Historical Action
Steins;Gate,Sci-Fi Thriller
Tokyo Ghoul,Dark Fantasy
Chainsaw Man,Action Horror
Black Clover,Action Fantasy
My Hero Academia,Action Superhero
Haikyuu!!,Sports
Blue Lock,Sports
Your Lie in April,Drama Romance
Violet Evergarden,Drama Slice of Life
A Silent Voice,Drama
Your Name,Romance Fantasy
Horimiya,Romance Slice of Life
Frieren: Beyond Journey's End,Fantasy Adventure
Spy x Family,Comedy Action
Kaguya-sama: Love is War,Romantic Comedy
Re:ZERO - Starting Life in Another World,Isekai Fantasy
